mu,alpha,epsilon,mean_return,std_return,count,spearman_alpha_mean,spearman_epsilon_std,spearman_epsilon_mean,spearman_mu0_mean,spearman_mu0_std
"(0.5, 0.5, -0.5)",0.0003,0.01,0.0127401075,0.011714081773292844,4000,0.05898893289837687,0.9428170249604156,-0.0025147535340355547,0.14477795345947553,0.07235305167925153
"(0.5, 0.5, -0.5)",0.0002,0.02,0.0127175925,0.021069322726869653,4000,,,,,
"(0.5, 0.5, -0.5)",0.0003,0.005,0.012705015,0.007496039120789061,4000,,,,,
"(0.5, 0.5, -0.5)",0.0002,0.005,0.01262868,0.007481773990378941,4000,,,,,
"(0.5, 0.5, -0.5)",0.0002,0.01,0.0125949075,0.01164585601972015,4000,,,,,
"(0.5, 0.5, -0.5)",0.0003,0.02,0.0125042475,0.020724920940035845,4000,,,,,
"(0.5, 0.5, -0.5)",-0.0001,0.02,0.012327462499999999,0.02079942378032363,4000,,,,,
"(0.0, 0.5, -0.5)",0.0003,0.005,0.012282545,0.007245506725889068,4000,,,,,
"(0.5, 0.5, -0.5)",-0.0001,0.01,0.012242345,0.01174575743429947,4000,,,,,
"(0.0, 0.5, -0.5)",0.0002,0.005,0.012223995,0.00736818137427181,4000,,,,,
"(0.5, 0.5, -0.5)",-0.0001,0.005,0.012212105,0.007552693043678395,4000,,,,,
"(0.0, 0.5, -0.5)",0.0003,0.01,0.012157254999999999,0.011333869774529413,4000,,,,,
"(0.0, 0.5, -0.5)",0.0002,0.01,0.0121517825,0.011366010115435397,4000,,,,,
"(0.0, 0.5, -0.5)",0.0002,0.02,0.0121008125,0.020796922549062905,4000,,,,,
"(0.0, 0.5, -0.5)",-0.0001,0.01,0.01209873,0.011274465973288744,4000,,,,,
"(-0.5, 0.5, -0.5)",0.0003,0.02,0.0119484,0.020046711054335666,4000,,,,,
"(0.0, 0.5, -0.5)",-0.0001,0.005,0.01192524,0.0073780861225054666,4000,,,,,
"(-0.5, 0.5, -0.5)",0.0002,0.02,0.01187044,0.020715009673249976,4000,,,,,
"(-0.5, 0.5, -0.5)",0.0003,0.01,0.01184759,0.011170026970313425,4000,,,,,
"(0.0, 0.5, -0.5)",0.0003,0.02,0.011839437500000001,0.021014463061735295,4000,,,,,
"(0.5, 0.5, 0.0)",0.0003,0.005,0.01183576,0.007797888299910717,4000,,,,,
"(-0.5, 0.5, -0.5)",0.0003,0.005,0.011774725,0.0072094594596821245,4000,,,,,
"(0.5, 0.5, 0.0)",0.0002,0.02,0.011773925000000001,0.020783097853387254,4000,,,,,
"(0.5, 0.5, 0.0)",-0.0001,0.02,0.0117590075,0.020908239632046317,4000,,,,,
"(0.5, 0.5, 0.0)",0.0003,0.02,0.0117512725,0.020805785541135918,4000,,,,,
"(-0.5, 0.5, -0.5)",0.0002,0.01,0.011708707499999998,0.011177242300353161,4000,,,,,
"(-0.5, 0.5, -0.5)",0.0002,0.005,0.01165749,0.007214355174237333,4000,,,,,
"(0.5, 0.5, 0.0)",0.0002,0.005,0.01161248,0.007710983715912439,4000,,,,,
"(0.0, 0.5, -0.5)",-0.0001,0.02,0.0116005925,0.02063374133535452,4000,,,,,
"(0.5, 0.5, 0.0)",0.0002,0.01,0.011592465000000001,0.011743140074463785,4000,,,,,
"(0.0, 0.5, 0.0)",0.0003,0.02,0.011528115,0.021298694442219046,4000,,,,,
"(0.5, 0.5, 0.0)",0.0003,0.01,0.01149719,0.011484539027016526,4000,,,,,
"(0.0, 0.5, 0.0)",0.0003,0.01,0.011459167499999999,0.011437467599876206,4000,,,,,
