mu,alpha,epsilon,mean_return,std_return,count,spearman_alpha_mean,spearman_epsilon_std,spearman_epsilon_mean,spearman_mu0_mean,spearman_mu0_std
"(0.5, 0.0, -0.5)",0.0003,0.02,0.0016879525,0.020831824620325443,4000,0.5102075670053278,0.9428170249604156,-0.0218424306956231,0.18803171424488704,0.0881600738931893
"(0.5, 0.5, 0.5)",0.0003,0.02,0.0015575875,0.021312894286571248,4000,,,,,
"(0.0, 0.0, -0.5)",0.0003,0.02,0.0013904224999999998,0.02078633718695784,4000,,,,,
"(0.0, 0.0, 0.0)",0.0002,0.02,0.0013843525,0.020417870284079057,4000,,,,,
"(0.5, 0.5, 0.5)",0.0002,0.02,0.001372645,0.02164658194684486,4000,,,,,
"(0.5, 0.0, 0.5)",0.0003,0.02,0.001328325,0.02136496858680239,4000,,,,,
"(-0.5, 0.0, 0.0)",0.0002,0.02,0.0012311350000000002,0.02040641904270105,4000,,,,,
"(0.0, 0.5, 0.0)",0.0003,0.02,0.0012229674999999999,0.02139608898548779,4000,,,,,
"(-0.5, 0.5, 0.5)",0.0003,0.01,0.00119269,0.011870783973349657,4000,,,,,
"(0.5, 0.5, 0.5)",0.0003,0.01,0.001168425,0.012138458176848626,4000,,,,,
"(0.0, 0.5, 0.0)",0.0003,0.01,0.00115271,0.011587493732841974,4000,,,,,
"(0.5, 0.5, 0.0)",0.0003,0.005,0.0011481375,0.008037924039315702,4000,,,,,
"(-0.5, 0.5, 0.0)",0.0003,0.02,0.0011454275,0.020802463357441056,4000,,,,,
"(-0.5, 0.5, 0.0)",0.0003,0.005,0.0011416775,0.007576209276263641,4000,,,,,
"(0.0, 0.5, 0.0)",0.0003,0.005,0.0011406125,0.00793505773042264,4000,,,,,
"(0.5, 0.5, -0.5)",0.0003,0.01,0.0011359175,0.01185457070162491,4000,,,,,
"(0.0, 0.0, -0.5)",0.0002,0.02,0.001131215,0.020539092624924784,4000,,,,,
"(0.0, 0.5, 0.5)",0.0002,0.005,0.0011264674999999999,0.008262431802518351,4000,,,,,
"(-0.5, 0.5, -0.5)",0.0003,0.02,0.00112075,0.02010406076026092,4000,,,,,
"(0.5, 0.5, -0.5)",0.0002,0.02,0.0011134575,0.021145845367702205,4000,,,,,
"(0.5, 0.5, -0.5)",0.0003,0.005,0.00111059,0.007706211726697769,4000,,,,,
"(0.5, 0.5, 0.5)",0.0003,0.005,0.00109648,0.008525420758494977,4000,,,,,
"(0.5, -0.5, -0.5)",0.0003,0.02,0.0010951825,0.020431222948822454,4000,,,,,
"(0.0, 0.5, 0.5)",0.0003,0.005,0.0010937524999999999,0.00837267284123597,4000,,,,,
"(0.5, 0.0, -0.5)",0.0003,0.01,0.0010907175,0.01138528276443322,4000,,,,,
"(-0.5, 0.5, 0.0)",0.0003,0.01,0.0010859275,0.011396351530064035,4000,,,,,
"(0.5, 0.0, 0.0)",0.0002,0.01,0.0010852375000000001,0.011369499053202562,4000,,,,,
"(0.5, 0.5, 0.0)",-0.0001,0.02,0.0010727825,0.021015015135563926,4000,,,,,
"(0.0, 0.5, -0.5)",0.0003,0.005,0.00107016,0.007430444694060239,4000,,,,,
"(0.0, -0.5, -0.5)",0.0002,0.02,0.0010669675,0.020190868273042343,4000,,,,,
"(0.5, 0.5, 0.0)",0.0002,0.02,0.0010667,0.020892162782403117,4000,,,,,
"(0.0, 0.5, 0.5)",0.0003,0.01,0.0010573775000000001,0.012038487554221322,4000,,,,,
"(0.5, 0.5, 0.0)",0.0003,0.02,0.0010534275,0.02088623083964447,4000,,,,,
"(-0.5, 0.5, -0.5)",0.0002,0.02,0.00103985,0.02078799548216569,4000,,,,,
"(0.5, 0.5, -0.5)",0.0002,0.005,0.00102995,0.007687954972579838,4000,,,,,
"(0.5, 0.0, 0.0)",0.0003,0.02,0.0010259,0.020373772457280337,4000,,,,,
"(-0.5, 0.5, 0.5)",0.0002,0.005,0.001019475,0.007900005968222398,4000,,,,,
