mu,alpha,epsilon,mean_return,std_return,count,spearman_alpha_mean,spearman_epsilon_std,spearman_epsilon_mean,spearman_mu0_mean,spearman_mu0_std
"(-0.5, -0.5, 0.5)",0.0003,0.01,-0.0017518050000000002,0.012432996026281142,4000,0.0721375013763342,0.895180408015685,-0.0017962525243111103,-0.19385157242365503,0.10633814943921774
"(-0.5, -0.5, 0.5)",0.0003,0.005,-0.001899665,0.008906517276706704,4000,,,,,
"(-0.5, -0.5, 0.5)",0.0002,0.02,-0.00218627,0.0213857146346506,4000,,,,,
"(-0.5, -0.5, 0.5)",0.0002,0.005,-0.00228282,0.008719261874121418,4000,,,,,
"(-0.5, -0.5, 0.5)",0.0002,0.01,-0.0023235575,0.011944791458202127,4000,,,,,
"(-0.5, -0.5, 0.5)",-0.0001,0.005,-0.0024057475,0.008849628199594686,4000,,,,,
"(0.0, -0.5, 0.5)",0.0003,0.005,-0.0024782225,0.009230463744077358,4000,,,,,
"(-0.5, -0.5, 0.5)",-0.0001,0.01,-0.0025395225,0.012613616831796836,4000,,,,,
"(0.0, -0.5, 0.5)",-0.0001,0.02,-0.0025680399999999997,0.02119595604346614,4000,,,,,
"(-0.5, -0.5, 0.5)",0.0003,0.02,-0.002572755,0.021647648256305652,4000,,,,,
"(0.0, -0.5, 0.5)",0.0003,0.02,-0.0025784425,0.021288110386085163,4000,,,,,
"(0.0, -0.5, 0.5)",0.0002,0.02,-0.00258858,0.021169418005657952,4000,,,,,
"(-0.5, -0.5, 0.5)",-0.0001,0.02,-0.0026878525,0.021354131440909568,4000,,,,,
"(0.0, -0.5, 0.5)",0.0002,0.005,-0.0026928725,0.009317031447434945,4000,,,,,
"(0.0, -0.5, 0.5)",0.0003,0.01,-0.00273129,0.01262771827580553,4000,,,,,
"(0.0, -0.5, 0.5)",0.0002,0.01,-0.0027588875,0.012654837360254663,4000,,,,,
"(0.0, -0.5, 0.5)",-0.0001,0.005,-0.00283865,0.009377333249502113,4000,,,,,
"(0.5, -0.5, 0.5)",0.0002,0.02,-0.0028702475,0.021734768817671685,4000,,,,,
"(0.5, -0.5, 0.5)",0.0003,0.005,-0.0030343525,0.009685452887198983,4000,,,,,
"(0.5, -0.5, 0.5)",0.0003,0.01,-0.0030648625,0.013018604923325369,4000,,,,,
"(0.5, -0.5, 0.5)",0.0002,0.005,-0.0030959,0.009695146087316758,4000,,,,,
"(0.0, -0.5, 0.5)",-0.0001,0.01,-0.0031780875,0.012660157033440464,4000,,,,,
"(0.5, -0.5, 0.5)",-0.0001,0.02,-0.003191645,0.021285016865854735,4000,,,,,
"(0.5, -0.5, 0.5)",0.0002,0.01,-0.0032006075,0.012963698018795575,4000,,,,,
"(0.5, -0.5, 0.5)",0.0003,0.02,-0.00340598,0.021554961688273675,4000,,,,,
"(0.5, -0.5, 0.5)",-0.0001,0.005,-0.00345437,0.009816237503890348,4000,,,,,
"(0.5, -0.5, 0.5)",-0.0001,0.01,-0.0034928050000000003,0.012877838792474696,4000,,,,,
"(-0.5, -0.5, 0.0)",0.0003,0.01,-0.0054044275,0.012093669438279046,4000,,,,,
"(-0.5, 0.0, 0.5)",0.0003,0.005,-0.0054108625,0.010059610189783005,4000,,,,,
"(-0.5, -0.5, 0.0)",0.0002,0.02,-0.0054382325,0.020792361673868054,4000,,,,,
"(-0.5, -0.5, 0.0)",0.0003,0.005,-0.00543964,0.00821238475938986,4000,,,,,
"(-0.5, -0.5, 0.0)",0.0002,0.005,-0.005527275000000001,0.008379606937528856,4000,,,,,
"(-0.5, -0.5, 0.0)",0.0002,0.01,-0.0055485375,0.011993409146353327,4000,,,,,
"(-0.5, 0.0, 0.5)",-0.0001,0.02,-0.005552215,0.022326916985990233,4000,,,,,
"(-0.5, 0.0, 0.5)",0.0002,0.005,-0.0056315725,0.010161228313666342,4000,,,,,
"(-0.5, 0.0, 0.5)",0.0002,0.01,-0.005741397499999999,0.012989871233413322,4000,,,,,
"(-0.5, 0.0, 0.5)",-0.0001,0.01,-0.005776897499999999,0.013438861566350917,4000,,,,,
"(-0.5, 0.0, 0.5)",0.0003,0.01,-0.0057863875,0.013382556227329616,4000,,,,,
"(-0.5, -0.5, 0.0)",-0.0001,0.02,-0.005810335000000001,0.021266719674863033,4000,,,,,
"(-0.5, 0.0, 0.5)",0.0003,0.02,-0.005823995,0.022008151068827673,4000,,,,,
"(-0.5, -0.5, 0.0)",-0.0001,0.005,-0.0058360700000000005,0.008403031729123723,4000,,,,,
"(0.0, -0.5, 0.0)",0.0002,0.02,-0.0059069175,0.021239470014452276,4000,,,,,
"(-0.5, 0.0, 0.5)",-0.0001,0.005,-0.0059250725,0.010073425644774404,4000,,,,,
"(0.0, -0.5, 0.0)",0.0003,0.005,-0.00593196,0.00877485531959759,4000,,,,,
"(0.0, -0.5, 0.0)",0.0002,0.01,-0.0059608625000000005,0.012200475299367512,4000,,,,,
"(0.0, 0.0, 0.5)",0.0003,0.005,-0.0060030525,0.010599347026897113,4000,,,,,
"(0.0, -0.5, 0.0)",0.0003,0.01,-0.00601954,0.012350919392533499,4000,,,,,
"(0.0, -0.5, 0.0)",0.0002,0.005,-0.00606098,0.009026472186831053,4000,,,,,
"(0.0, 0.0, 0.5)",0.0002,0.005,-0.0060741925,0.010636227337780023,4000,,,,,
"(0.0, 0.0, 0.5)",0.0002,0.02,-0.0061419199999999995,0.022036160047771765,4000,,,,,
"(-0.5, -0.5, 0.0)",0.0003,0.02,-0.006155255,0.021458249265733736,4000,,,,,
"(0.0, 0.0, 0.5)",0.0003,0.01,-0.00620804,0.013606064728927031,4000,,,,,
"(0.5, 0.0, 0.5)",0.0003,0.02,-0.0062152025,0.02275975202274899,4000,,,,,
"(0.0, 0.0, 0.5)",0.0002,0.01,-0.00624575,0.013781645488677826,4000,,,,,
"(-0.5, -0.5, 0.0)",-0.0001,0.01,-0.006275295,0.012184693757065183,4000,,,,,
"(0.0, -0.5, 0.0)",-0.0001,0.01,-0.00628444,0.012341338243635144,4000,,,,,
"(0.5, -0.5, 0.0)",-0.0001,0.02,-0.0062846725,0.021472623743626462,4000,,,,,
"(-0.5, 0.0, 0.5)",0.0002,0.02,-0.0063591375,0.022120271227561574,4000,,,,,
"(0.0, 0.0, 0.5)",-0.0001,0.005,-0.006395415,0.010556854767089419,4000,,,,,
"(0.0, -0.5, 0.0)",-0.0001,0.005,-0.00639681,0.008935648478276877,4000,,,,,
"(0.5, -0.5, 0.0)",0.0002,0.02,-0.006431132500000001,0.021481700727805114,4000,,,,,
"(0.0, 0.0, 0.5)",-0.0001,0.02,-0.0064521425,0.02154998392891577,4000,,,,,
"(0.0, -0.5, 0.0)",-0.0001,0.02,-0.006482035,0.021548415473327212,4000,,,,,
"(0.5, -0.5, 0.0)",0.0003,0.01,-0.006501092500000001,0.012613974961229494,4000,,,,,
"(0.5, 0.0, 0.5)",0.0002,0.01,-0.0065707775000000005,0.014016854847841233,4000,,,,,
"(0.5, 0.0, 0.5)",0.0003,0.01,-0.0065754425000000005,0.013873690476079172,4000,,,,,
"(0.5, -0.5, 0.0)",0.0002,0.01,-0.0065898725,0.012618053721896892,4000,,,,,
"(0.0, 0.0, 0.5)",-0.0001,0.01,-0.0066130325,0.013997044619971264,4000,,,,,
"(0.5, 0.0, 0.5)",0.0003,0.005,-0.0066311775,0.011133846501680122,4000,,,,,
"(0.0, -0.5, 0.0)",0.0003,0.02,-0.0066399975,0.02101148573657293,4000,,,,,
"(0.5, 0.0, 0.5)",-0.0001,0.02,-0.00666115,0.022369083781076066,4000,,,,,
"(0.0, 0.0, 0.5)",0.0003,0.02,-0.006688970000000001,0.022567541426141324,4000,,,,,
"(0.5, -0.5, 0.0)",0.0003,0.02,-0.006696265000000001,0.021134287234823076,4000,,,,,
"(0.5, -0.5, 0.0)",0.0003,0.005,-0.0067324675,0.009485542673795627,4000,,,,,
"(0.5, 0.0, 0.5)",0.0002,0.005,-0.0067416025,0.01100383769954933,4000,,,,,
"(0.5, -0.5, 0.0)",0.0002,0.005,-0.006828155,0.009391908175699442,4000,,,,,
"(0.5, -0.5, 0.0)",-0.0001,0.01,-0.006865649999999999,0.012664758845183425,4000,,,,,
"(0.5, 0.0, 0.5)",-0.0001,0.005,-0.0069890049999999995,0.01094293564909025,4000,,,,,
"(0.5, 0.0, 0.5)",-0.0001,0.01,-0.0070010075,0.013956520722501482,4000,,,,,
"(0.5, -0.5, 0.0)",-0.0001,0.005,-0.00709173,0.00938586122339481,4000,,,,,
"(0.5, 0.0, 0.5)",0.0002,0.02,-0.00728998,0.022584458962885544,4000,,,,,
"(-0.5, 0.0, 0.0)",0.0002,0.02,-0.008619835,0.021450904842276783,4000,,,,,
"(-0.5, -0.5, -0.5)",0.0003,0.005,-0.0088544,0.008302906894920989,4000,,,,,
"(-0.5, 0.5, 0.5)",0.0003,0.01,-0.0088675675,0.015766899656848885,4000,,,,,
"(-0.5, -0.5, -0.5)",0.0003,0.02,-0.008893095,0.020982842396580513,4000,,,,,
"(-0.5, 0.0, 0.0)",0.0003,0.01,-0.0089697075,0.013081375527285548,4000,,,,,
"(-0.5, 0.0, 0.0)",0.0003,0.005,-0.008990625,0.009552477967428384,4000,,,,,
"(-0.5, -0.5, -0.5)",0.0002,0.005,-0.009017352499999999,0.008258769653210464,4000,,,,,
