t,market_index,MKT,SMB,HML
t_0,98.29462789565929,-0.009253040846172376,-0.02283291377677416,0.004849725661044156
t_1,97.59214404284668,-0.0036997957995710522,-0.009180519368641006,0.0032069295691690516
t_2,96.39920389058798,-0.0042040541769784254,-0.023211729914137356,0.0030658926944805566
t_3,93.44228530710187,-0.02287704252586536,-0.026876537924451587,0.0022405940334425264
t_4,88.43223227865873,-0.05383367180627677,-0.008060468731695582,-0.003911013677945294
t_5,84.78860786718047,-0.04431520959502714,0.005986388762687051,-0.003119920700406901
t_6,78.86304377559217,-0.07057943278551215,-0.01228299981096583,0.005674135572266944
t_7,76.75261545549868,-0.03260243623564252,0.016822009505826893,0.00455851921759831
t_8,74.31750394118917,-0.02808876465417042,-0.01351680332418223,0.008291230115680722
t_9,72.20197908765518,-0.02887819782233945,-0.0002945243782718158,0.01002978369398708
t_10,69.72044920123611,-0.040952999883198,0.016560973124778125,-0.006877152789026351
t_11,69.03937738077163,-0.013675364296284458,0.011006216344873749,0.0018662969209056364
t_12,66.77127986596138,-0.0336510488227926,-0.0018875758098969957,0.001906791827621259
t_13,63.74236577463383,-0.04388135365698111,-0.010548153427990536,0.003740252937828171
t_14,61.84157151156007,-0.03171489853925139,0.004378860637234498,-0.0017203626385094272
t_15,61.791400399175934,-0.004390310742522802,0.009304135392255932,-0.00210150663349184
t_16,61.33919792608707,-0.006135819050372305,-0.00500726093011573,0.004715112689594329
t_17,59.649304222087025,-0.024776779995712667,-0.014133259244893805,-0.0029244324349787985
t_18,57.2919793959831,-0.04648456223493975,0.012791391196546799,-0.013563233304223944
t_19,56.175429149723136,-0.03164331081401808,0.03455902498982832,0.0026953285765291355
t_20,55.68143751266618,-0.019585198297190055,0.032699131182029384,0.01524928842726613
t_21,55.64485499427474,-0.004140889612012939,0.01032958063495412,-0.001865549828149844
t_22,54.86405974203157,-0.021613838629823807,0.018489525421818132,-0.0018858195200798507
t_23,52.1330424892388,-0.0579950545773133,0.01706731252449852,0.0031844940177277116
t_24,49.63953417655028,-0.05467926024889464,0.009338094885366133,-0.011841140007615035
t_25,47.33112380943989,-0.05089830462898259,0.0055961850593916704,-0.000793224937855073
t_26,46.088401137337705,-0.018879146394815378,-0.02387718329483772,-0.001987718200948391
t_27,45.81326420393165,-0.005144443121250574,-0.004405428997726491,0.0027297937815835074
t_28,44.301656304530354,-0.022234162151845132,-0.037010950543080956,0.0024894224986919777
t_29,41.38403619201404,-0.06245314486628979,-0.029339604502917498,-0.008340566583343072
t_30,39.79271499551158,-0.039996398320329064,-0.0023686408184673304,-0.014211483184670332
t_31,37.965071087763725,-0.04603894820295873,-0.012025861971580443,-0.017415041968254254
t_32,37.24034249765676,-0.01977168591595751,-0.00164042872938369,0.004246371525490537
t_33,36.01769357584767,-0.012251546247262294,-0.07357265174101507,0.002383108550419853
t_34,34.8075748787704,-0.035257094130979424,-0.0005809178490237543,0.002122625690083556
t_35,34.13986478897043,-0.02443528794314697,0.013188769242259877,-0.0033497654950114886
t_36,33.79247179447883,-0.007694683425794244,-0.00924762223948251,0.0019026614674123356
t_37,33.076827612789856,-0.02582837873591897,0.008747915280587427,-0.013639729425569796
t_38,32.494024196532195,-0.019761326830235834,0.007480524129288752,0.013748326673263877
t_39,32.06571179911055,-0.009630042964404725,-0.014262968372494921,-0.00016976712274665347
