stock_id,t_0,t_1,t_2,t_3,t_4,t_5
stock_000,102.70023705264222,106.39300630531618,105.5493411660098,114.45569285482546,120.10833393788171,124.47503127543325
stock_001,103.82841742870409,105.5020035981606,105.91654684742406,112.97427388852913,114.93636715226889,118.0489525153935
stock_002,99.21195419492287,103.29833041462985,102.21350492319644,106.40120201840747,104.08191583700173,104.47356118045747
stock_003,103.42053464768597,109.33080781605167,112.16096127941726,117.61421203934326,120.9384367603881,123.68333293219281
stock_004,99.0561727243464,104.17688748673116,105.42786330433768,112.12277138312363,116.59539285178043,115.78969317999987
stock_005,98.78047895514146,99.0780819678706,100.76292181106963,106.60639864020283,109.53357315178808,111.0928528084034
stock_006,97.07669281847964,100.21651933001215,101.63324142650126,107.61664851395577,112.46512416433909,118.79028193938919
stock_007,101.8334955133698,107.51252866348325,108.70168687685009,115.62012303474846,122.61683830692091,123.20017086049971
stock_008,100.06193645380603,105.41798074302739,105.61472019456221,110.29302532888448,113.26217777525505,114.0320885510119
stock_009,103.30044656194943,107.3306475062231,109.43958172679014,115.95478795319485,118.90981237470822,123.57670614195737
stock_010,100.20125649928207,100.10794347938409,98.4360214303555,104.0994268170605,106.45686766374239,105.89503385073277
stock_011,102.36327789368218,107.8734268197367,108.24937145116706,117.79320933374363,119.83501054279778,116.64283391548555
stock_012,100.90014457343683,103.06387608365185,105.72916673761128,113.67985770101198,122.75815844274584,128.85865050219562
stock_013,97.04976668035677,101.96711873696358,106.14702934178281,113.55458710671091,120.34934582061899,118.47594929443811
stock_014,101.41451078652675,100.68667239424772,102.5262657673123,105.90869012152642,102.96262322639693,103.5923408465649
stock_015,104.7294347599032,108.56317677000213,111.74132391008763,122.9154563010964,129.67521172363536,136.35692286434698
stock_016,103.25160233339625,104.93796060785088,107.35026410111851,118.08529051123037,120.46098990895057,126.66660998820831
stock_017,103.64542195245963,105.16342013559824,109.967874760659,118.52757440835639,122.30484184353696,125.86469824738477
stock_018,103.20776622197387,107.85891848014518,112.1701176685826,123.38712943544088,131.5804991814255,133.40634189780587
stock_019,99.22169486956653,104.65915476683045,103.65052932249941,113.8688191977378,115.37035479943977,117.38483607244139
stock_020,99.72030029878988,105.43762043875401,104.13239182783289,112.2653875036733,114.01889173695442,116.88766906601569
stock_021,98.63174177441297,103.32263191796073,104.14887968376215,114.56376765213837,122.34195751776754,126.22908770657146
stock_022,101.88775517458315,105.2228150385161,107.3572063671571,117.98713641590734,121.54983797463808,123.97524713613153
stock_023,101.90771150231465,109.67319865150063,109.68971970594488,120.05233738322895,127.33827080739448,122.47913718639771
stock_024,97.06067130472162,100.09248257009253,101.29849100988467,111.42834011087315,120.09124540918252,127.96291567017957
stock_025,99.75632102295712,99.3423019052253,96.0329203825583,105.63621242081415,111.81198429634475,111.49071586658286
stock_026,102.3823303143325,103.09137421952903,106.67755104171707,117.34530614588878,120.31042799073741,118.06494808305602
