stock_id,t,state,characteristic_1,characteristic_2,characteristic_3,mu,alpha,epsilon_variance,beta_mkt,beta_smb,beta_hml,MKT,SMB,HML,epsilon,raw_return,return,price
stock_000,t_0,-1,-0.8659644327305178,-0.8304047497277934,-0.8424107439016884,"(-0.5,-0.5,-0.5)",0.020%,2.500%,0.8268071134538965,-0.015202374863896695,-0.4212053719508442,-0.534%,-0.265%,0.929%,0.322%,-0.487%,-0.487%,99.51308672777984
stock_000,t_1,-1,-1.1828074637121584,-1.0758334079390628,-1.0905658349876537,"(-0.5,-0.5,-0.5)",0.020%,2.500%,0.7634385072575683,-0.13791670396953137,-0.5452829174938268,-1.916%,-2.082%,0.723%,5.967%,4.418%,4.418%,103.90963987122784
stock_000,t_2,-1,-1.3357035356091622,-1.1970059884834994,-1.245452059815494,"(-0.5,-0.5,-0.5)",0.020%,2.500%,0.7328592928781675,-0.19850299424174966,-0.622726029907747,-2.425%,-0.693%,-0.547%,-2.750%,-4.030%,-4.030%,99.7223789304975
stock_000,t_3,-1,-1.4074724843616417,-1.3239991483449411,-1.342196674958672,"(-0.5,-0.5,-0.5)",0.020%,2.500%,0.7185055031276717,-0.26199957417247055,-0.671098337479336,-5.856%,-2.012%,-0.414%,-0.257%,-3.639%,-3.639%,96.09336082650542
stock_000,t_4,-1,-1.456979821284755,-1.498028795615552,-1.441608111704575,"(-0.5,-0.5,-0.5)",0.020%,2.500%,0.708604035743049,-0.349014397807776,-0.7208040558522875,-3.961%,-2.299%,-0.219%,4.496%,2.669%,2.669%,98.6583251344537
stock_000,t_5,-1,-1.5552592430926584,-1.5620513880447096,-1.5035538076815749,"(-0.5,-0.5,-0.5)",0.020%,2.500%,0.6889481513814684,-0.38102569402235476,-0.7517769038407874,-5.365%,-0.646%,0.407%,2.978%,-0.757%,-0.757%,97.91099314591018
stock_000,t_6,-1,-1.5012220293361644,-1.6172832691706558,-1.4692132737175347,"(-0.5,-0.5,-0.5)",0.020%,2.500%,0.6997555941327671,-0.4086416345853279,-0.7346066368587674,-6.248%,-1.973%,0.394%,-1.741%,-5.576%,-5.576%,92.45166535329192
stock_000,t_7,-1,-1.6567665053654552,-1.621327226760073,-1.4952234440100973,"(-0.5,-0.5,-0.5)",0.020%,2.500%,0.6686466989269089,-0.41066361338003643,-0.7476117220050487,-10.523%,-4.203%,-0.796%,0.560%,-4.135%,-4.135%,88.62848030521282
stock_000,t_8,-1,-1.6217248886059892,-1.5611891026064761,-1.4742944044945678,"(-0.5,-0.5,-0.5)",0.020%,2.500%,0.6756550222788021,-0.38059455130323805,-0.7371472022472839,-7.564%,-2.742%,0.650%,0.005%,-4.521%,-4.521%,84.62115428249678
stock_000,t_9,-1,-1.6550446819287994,-1.5925140242540836,-1.45681281004604,"(-0.5,-0.5,-0.5)",0.020%,2.500%,0.6689910636142401,-0.3962570121270418,-0.72840640502302,-8.586%,-0.750%,-0.714%,0.705%,-4.202%,-4.202%,81.06560040052561
stock_001,t_0,-1,-0.9164782594928969,-0.9515411794002753,-0.11799723284020884,"(-0.5,-0.5,0.0)",0.020%,2.500%,0.8167043481014207,-0.07577058970013761,-0.05899861642010442,-0.534%,-0.265%,0.929%,-1.747%,-2.197%,-2.197%,97.80265230759395
stock_001,t_1,-1,-1.2308780058304796,-1.1386721219669533,-0.11815265718190182,"(-0.5,-0.5,0.0)",0.020%,2.500%,0.7538243988339041,-0.16933606098347664,-0.05907632859095091,-1.916%,-2.082%,0.723%,-0.223%,-1.337%,-1.337%,96.4945650281697
stock_001,t_2,-1,-1.3386415825457456,-1.3157720380587117,-0.11728684570363333,"(-0.5,-0.5,0.0)",0.020%,2.500%,0.7322716834908509,-0.2578860190293558,-0.058643422851816666,-2.425%,-0.693%,-0.547%,-3.995%,-5.541%,-5.541%,91.14823105332859
