t,market_index,MKT,SMB,HML
t_0,100.63161037864725,0.004662613340189595,-0.0026467669194198268,0.009287441899579883
t_1,99.77304866832675,-0.003157050966725066,-0.02042332536975776,0.007425232944127724
t_2,99.28650953501784,-0.004630744792981017,-0.006059536059442844,-0.005084829322745598
t_3,95.34375272652697,-0.03673190457815855,-0.01884345251391195,-0.003616818588217551
t_4,93.3549510672314,-0.016439285572678784,-0.021397582799408003,-0.0015729808169796234
t_5,90.64761708264882,-0.029655907053024132,-0.004636344187167801,0.004748944644798388
t_6,86.99503633395292,-0.037974792448697295,-0.017747190057636558,0.00466645285570806
t_7,80.32337675061314,-0.0804188446244453,-0.039937319762191434,-0.0072106120646559
t_8,76.08567409078991,-0.05063686313792417,-0.02525204949705432,0.007265379716088471
t_9,71.79559397171256,-0.06073464940725312,-0.005287236474067798,-0.006364190258683892
