stock_id,t,state,characteristic_1,characteristic_2,characteristic_3,mu,alpha,epsilon_variance,beta_mkt,beta_smb,beta_hml,MKT,SMB,HML,epsilon,raw_return,return,price
stock_000,t_0,-1,-0.9235607923832142,-0.8475934857465554,-0.914715556463999,"(-0.5,-0.5,-0.5)",0.020%,2.500%,0.9076439207616785,-0.023796742873277654,-0.4573577782319995,-1.082%,0.057%,-0.491%,4.818%,4.079%,4.079%,104.07938285401057
stock_000,t_1,-1,-1.2020977458429936,-1.1238400393751606,-1.2163154904369418,"(-0.5,-0.5,-0.5)",0.020%,2.500%,0.8797902254157006,-0.1619200196875803,-0.6081577452184709,-3.648%,-1.898%,-0.613%,1.889%,-0.620%,-0.620%,103.43425110980061
stock_000,t_2,-1,-1.3321451859508109,-1.308660166006018,-1.3398554216603509,"(-0.5,-0.5,-0.5)",0.020%,2.500%,0.866785481404919,-0.25433008300300897,-0.6699277108301754,-2.076%,-1.726%,0.180%,-2.611%,-4.073%,-4.073%,99.22165879153513
stock_000,t_3,-1,-1.4170495713336726,-1.373837237342115,-1.380982917540861,"(-0.5,-0.5,-0.5)",0.020%,2.500%,0.8582950428666327,-0.2869186186710575,-0.6904914587704305,-2.464%,-2.611%,1.859%,4.079%,1.449%,1.449%,100.65974489730777
stock_000,t_4,-1,-1.5069913504374528,-1.4683921029950242,-1.4524219890559438,"(-0.5,-0.5,-0.5)",0.020%,2.500%,0.8493008649562547,-0.3341960514975121,-0.7262109945279719,-2.622%,-0.452%,-0.246%,0.973%,-0.904%,-0.904%,99.7495394256858
stock_000,t_5,-1,-1.6607844438218262,-1.591281615292151,-1.5734362696276276,"(-0.5,-0.5,-0.5)",0.020%,2.500%,0.8339215556178173,-0.39564080764607545,-0.7867181348138138,-1.982%,-3.090%,-0.219%,2.076%,1.838%,1.838%,101.58306083539894
stock_000,t_6,-1,-1.7193446981402762,-1.560346596336492,-1.6270623185795619,"(-0.5,-0.5,-0.5)",0.020%,2.500%,0.8280655301859724,-0.38017329816824597,-0.8135311592897809,-2.252%,0.238%,0.579%,1.226%,-1.180%,-1.180%,100.38406539185597
stock_000,t_7,-1,-1.720263807033543,-1.486271589751556,-1.6289663453404009,"(-0.5,-0.5,-0.5)",0.020%,2.500%,0.8279736192966457,-0.34313579487577794,-0.8144831726702004,-2.659%,-2.042%,-0.488%,1.049%,-0.034%,-0.034%,100.34978747599565
stock_000,t_8,-1,-1.6539205404637778,-1.5720935941391039,-1.6211543779433184,"(-0.5,-0.5,-0.5)",0.020%,2.500%,0.8346079459536222,-0.3860467970695519,-0.8105771889716592,-2.904%,-2.053%,0.000%,-4.994%,-6.605%,-6.605%,93.72130770893486
stock_000,t_9,-1,-1.7120496745960907,-1.5922028207444514,-1.5533318574157133,"(-0.5,-0.5,-0.5)",0.020%,2.500%,0.8287950325403909,-0.3961014103722257,-0.7766659287078567,-3.864%,-3.160%,0.423%,2.767%,0.508%,0.508%,94.19786605009087
stock_000,t_10,-1,-1.7964715138790002,-1.5588664148711422,-1.545401571180277,"(-0.5,-0.5,-0.5)",0.020%,2.500%,0.8203528486121,-0.3794332074355711,-0.7727007855901386,-3.209%,-2.698%,0.550%,-5.636%,-7.650%,-7.650%,86.9921242207167
stock_000,t_11,-1,-1.783355481363158,-1.6500266409295496,-1.550183250804348,"(-0.5,-0.5,-0.5)",0.020%,2.500%,0.8216644518636842,-0.4250133204647748,-0.775091625402174,-1.306%,0.702%,-0.123%,2.540%,1.284%,1.284%,88.10910295097892
stock_000,t_12,-1,-1.770950625429881,-1.6085567439229251,-1.5563079842914198,"(-0.5,-0.5,-0.5)",0.020%,2.500%,0.8229049374570119,-0.40427837196146255,-0.7781539921457099,-1.253%,1.277%,1.485%,0.249%,-2.435%,-2.435%,85.96390385793157
stock_000,t_13,-1,-1.635011173050168,-1.609923221198283,-1.6230100393467348,"(-0.5,-0.5,-0.5)",0.020%,2.500%,0.8364988826949832,-0.4049616105991415,-0.8115050196733674,1.009%,0.435%,-0.840%,2.089%,3.458%,3.458%,88.93691028111887
stock_000,t_14,-1,-1.6320007243852304,-1.5832502927405783,-1.5234052710609516,"(-0.5,-0.5,-0.5)",0.020%,2.500%,0.8367999275614769,-0.3916251463702891,-0.7617026355304758,0.295%,0.201%,0.498%,0.396%,0.205%,0.205%,89.11918607991737
stock_000,t_15,-1,-1.5906937960955252,-1.5577004267324053,-1.452415252716445,"(-0.5,-0.5,-0.5)",0.020%,2.500%,0.8409306203904474,-0.3788502133662026,-0.7262076263582224,-0.766%,-2.268%,-0.173%,2.609%,2.970%,2.970%,91.76631419039703
stock_000,t_16,-1,-1.6852767507214625,-1.6008903693410483,-1.5496644707500207,"(-0.5,-0.5,-0.5)",0.020%,2.500%,0.8314723249278537,-0.40044518467052415,-0.7748322353750103,0.273%,-2.055%,-0.137%,0.040%,1.217%,1.217%,92.8827989532727
stock_000,t_17,-1,-1.698818476158297,-1.67317990892506,-1.5191728491786494,"(-0.5,-0.5,-0.5)",0.020%,2.500%,0.8301181523841703,-0.43658995446253,-0.7595864245893247,-0.541%,2.028%,-0.631%,0.702%,-0.133%,-0.133%,92.75935395987047
stock_000,t_18,-1,-1.6975653713288195,-1.7258153184714486,-1.5983970968385746,"(-0.5,-0.5,-0.5)",0.020%,2.500%,0.830243462867118,-0.4629076592357243,-0.7991985484192873,-1.812%,-0.180%,0.544%,1.012%,-0.824%,-0.824%,91.99505430442612
stock_000,t_19,-1,-1.6646066605167211,-1.6214923629327789,-1.4691542594435665,"(-0.5,-0.5,-0.5)",0.020%,2.500%,0.8335393339483279,-0.4107461814663894,-0.7345771297217832,-1.272%,-0.068%,0.812%,4.697%,3.088%,3.088%,94.83576961584575
stock_001,t_0,-1,-0.7301682520395602,-0.8501354340034403,-0.9343722872019118,"(-0.5,-0.5,-0.5)",0.020%,2.500%,0.926983174796044,-0.025067717001720113,-0.4671861436009559,-1.082%,0.057%,-0.491%,1.501%,0.746%,0.746%,100.74622805590249
stock_001,t_1,-1,-1.1825321406695926,-1.0865253443616059,-1.2061184523998625,"(-0.5,-0.5,-0.5)",0.020%,2.500%,0.8817467859330408,-0.1432626721808029,-0.6030592261999312,-3.648%,-1.898%,-0.613%,-3.292%,-5.847%,-5.847%,94.85549139997143
stock_001,t_2,-1,-1.3735673270460165,-1.2929672817786324,-1.3424244472448938,"(-0.5,-0.5,-0.5)",0.020%,2.500%,0.8626432672953983,-0.24648364088931618,-0.6712122236224469,-2.076%,-1.726%,0.180%,-1.410%,-2.876%,-2.876%,92.12711480075407
stock_001,t_3,-1,-1.4088599487326523,-1.3810058191093906,-1.4320939809315023,"(-0.5,-0.5,-0.5)",0.020%,2.500%,0.8591140051267347,-0.29050290955469527,-0.7160469904657512,-2.464%,-2.611%,1.859%,1.495%,-1.174%,-1.174%,91.04517131413583
stock_001,t_4,-1,-1.5578981918457728,-1.5481347591033654,-1.5100395621498763,"(-0.5,-0.5,-0.5)",0.020%,2.500%,0.8442101808154228,-0.3740673795516827,-0.7550197810749382,-2.622%,-0.452%,-0.246%,3.149%,1.311%,1.311%,92.23884820667158
stock_001,t_5,-1,-1.5958607777488516,-1.4502117986023946,-1.5237092441090465,"(-0.5,-0.5,-0.5)",0.020%,2.500%,0.8404139222251148,-0.32510589930119727,-0.7618546220545233,-1.982%,-3.090%,-0.219%,-1.805%,-2.280%,-2.280%,90.13610935992055
stock_001,t_6,-1,-1.5583451348753703,-1.5225954050039057,-1.6115076346559019,"(-0.5,-0.5,-0.5)",0.020%,2.500%,0.8441654865124629,-0.3612977025019528,-0.8057538173279509,-2.252%,0.238%,0.579%,5.600%,3.166%,3.166%,92.98964565367267
stock_001,t_7,-1,-1.6508313434029331,-1.5832005771246838,-1.4697717785802265,"(-0.5,-0.5,-0.5)",0.020%,2.500%,0.8349168656597067,-0.39160028856234186,-0.7348858892901132,-2.659%,-2.042%,-0.488%,0.439%,-0.603%,-0.603%,92.42898635575379
stock_001,t_8,-1,-1.7023235739653697,-1.5287710229068638,-1.5595272867623688,"(-0.5,-0.5,-0.5)",0.020%,2.500%,0.829767642603463,-0.3643855114534319,-0.7797636433811844,-2.904%,-2.053%,0.000%,1.051%,-0.590%,-0.590%,91.88358037849048
stock_001,t_9,-1,-1.630615942305036,-1.5206041069231098,-1.573091010255025,"(-0.5,-0.5,-0.5)",0.020%,2.500%,0.8369384057694964,-0.36030205346155486,-0.7865455051275125,-3.864%,-3.160%,0.423%,-3.135%,-5.543%,-5.543%,86.79058691001684
stock_001,t_10,-1,-1.6423461140663995,-1.5776799312257848,-1.5457448245768415,"(-0.5,-0.5,-0.5)",0.020%,2.500%,0.83576538859336,-0.38883996561289236,-0.7728724122884207,-3.209%,-2.698%,0.550%,2.789%,0.751%,0.751%,87.4421904201081
stock_001,t_11,-1,-1.6748239829636067,-1.649028301122795,-1.6314103904341244,"(-0.5,-0.5,-0.5)",0.020%,2.500%,0.8325176017036393,-0.4245141505613975,-0.8157051952170622,-1.306%,0.702%,-0.123%,-1.114%,-2.379%,-2.379%,85.36171779289492
stock_001,t_12,-1,-1.6582803138630173,-1.5271229203451906,-1.6008172569677748,"(-0.5,-0.5,-0.5)",0.020%,2.500%,0.8341719686136982,-0.3635614601725953,-0.8004086284838874,-1.253%,1.277%,1.485%,-1.865%,-4.543%,-4.543%,81.48331264159323
