stock_id,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27,t_28,t_29,t_30,t_31,t_32,t_33,t_34,t_35,t_36,t_37,t_38,t_39
stock_000,98.23244917627865,101.75566132671456,105.14370369207208,104.95592656923252,99.13943325495579,98.41084066528121,94.06201281275693,89.35676116183112,87.24364491878053,86.6008930047876,84.27041129631924,84.82596550933715,81.23841977295216,76.82252808275851,75.41998762475134,72.50848058496587,70.00570783275917,66.9405856297293,63.30158956866024,57.98385517826537,53.94472668588292,53.54046393232556,52.98749794355347,50.957562232210734,48.31964003394493,47.129336839581704,46.5227932702241,46.19895478505995,44.457870988073374,42.12893233532675,41.60806334335639,43.23175485757779,43.97541664428797,44.9482558754023,43.73748999348294,41.45711010790443,41.1812478489658,40.953283590242876,39.90097760377192,38.582638330717366
stock_001,96.8369863824782,94.16777448522738,92.90938704503577,92.32607400609871,86.29331503770759,82.82948886864018,77.35482056609794,77.8102634815815,77.638663322665,78.14620571867547,77.99468410691289,73.70303220520655,73.16802374929681,69.16424501346661,64.84926225590979,63.10820237188496,63.498499486846484,64.40417312611575,62.866453672966145,60.12270440629289,57.85227502423298,59.28080023835335,59.86881789702945,56.60815840997567,56.055605320829585,54.81576272101047,52.73322444230872,52.030487785374035,51.197912323992504,50.74421020536104,49.25855079373088,48.34703816825722,46.26858192866749,46.89495523355538,47.29101376651879,42.56191238986691,42.980033511796755,40.7134324979237,37.81986576956047,36.98490887461448
stock_002,99.43590840609602,98.30085498110607,98.33215134984236,98.83426108747035,93.55091052202009,93.58441084913223,88.83950842668177,86.77616695818215,88.77831959679949,89.34300896174396,86.9651544100958,86.52875320102078,86.24246031349399,78.7832324312658,75.23306560778911,75.11201249645629,76.71058060986273,75.6526263836407,74.04692682793477,71.67475587558826,70.95917785396693,69.59570778510023,65.7143258688488,59.76491606339267,58.46273426908045,56.42538710625273,56.8592214936799,55.3234797415513,56.01670993672941,53.07592751682287,51.52002082617304,49.880340608036526,50.581434473542444,52.73441265195264,52.79687642166414,52.695736333416626,53.04907184624891,51.29609011363531,48.49114982404206,48.75479776804902
stock_003,96.75657733822631,98.58766971993909,99.42049413839482,97.10801644934332,95.5004482035507,93.19062079730426,90.86903822172465,87.39361742006587,80.61781618971564,77.72469564837927,77.0220344798864,74.67175669984668,70.17834626892096,69.8355994584267,69.40545550721527,68.59516504006841,67.50096055422004,66.90353499113047,65.04166608840568,62.58563077689926,60.497596147274706,61.89118324576065,62.24736284095213,57.37778704466859,54.59185102175238,52.080881235389896,51.74571131734089,50.36325771897949,52.62920081042558,51.78411676605221,49.00364442784928,46.03851895079873,43.831897112752735,44.61733577613235,42.112099814924434,41.056907692407655,41.78103987163677,40.86249456370053,39.30731587332334,40.70462783049091
stock_004,99.61150161232453,97.94535360439696,93.37077186858417,97.47405827574583,98.55405135008,100.21220114388295,95.44035039128289,85.8963153521546,83.6651639553413,79.72642890853574,73.93334723416969,71.20988801948612,69.32931031216434,67.90944688322074,68.24311345953485,69.16076975475123,68.052867506402,68.1859163706789,63.616377696923976,61.83194499194995,58.98198752669121,57.923231459654936,60.27500947118256,56.69018605003622,53.43296224412478,51.686940285821514,50.31401190235155,48.43471759900167,50.31804841053055,48.890166702471035,46.963161794225634,45.80352162394475,44.39718971491585,46.24553839039696,44.02471777260209,43.416865496459764,42.41804559885658,42.09977179034221,40.77459618709853,38.093922392394305
stock_005,101.29357512610319,106.48701577512337,106.8560806168586,106.93413491693552,100.73385731753478,93.8545487522039,84.66089036364139,82.81075946906995,80.77721219549707,76.41912523249377,70.15690697358032,68.79133483583294,68.45672133107306,69.15422068379645,65.98457248375837,65.46386381411571,63.59458641331314,62.260971509734084,60.57694422342064,58.495721439183676,55.98194303575355,58.74916085102864,57.679391147558455,53.28681344502418,50.813534235443015,49.131832096019984,47.07615103035743,45.28217994881503,44.07189001495885,41.79284824781496,41.28702247056344,37.1583202235071,37.43365585342288,37.44281147740834,35.80812042857996,35.75592605219894,34.38602050871916,33.88493040438126,31.79011731580248,31.602212967466066
stock_006,100.82436044648951,101.65631123728838,106.343604984246,106.0271660182026,103.34671623364319,97.50762898121333,92.00086418729909,88.87199550543717,86.5787290309167,82.65377229586119,79.97333448423133,77.5041359207991,73.57406359923328,70.48625360516921,67.5087577534277,66.5991339399419,66.36210869228272,65.65016112558811,65.13617376238359,63.42648270929216,59.713689105222244,58.53939347451643,58.43479661745948,54.83369358594418,51.49448294340937,50.62366069703699,50.497159872131,48.760624106984686,46.80973411703029,46.43630880060102,45.1401610641777,43.81650066839754,44.85805381731272,45.2576989298969,45.14683415090713,44.164053606559825,42.94803734423381,44.032048601666084,43.698053804840264,44.5177391600351
stock_007,94.02006344044396,96.81038215353064,93.24845176483859,92.77364433426327,85.16497818173418,83.54286058295662,75.51182581651842,72.43673445582797,71.35008142290481,67.1771065229627,66.61553894231503,63.47748813343991,60.95887559854275,59.38389399066218,57.17473392731577,56.43497002269367,56.109439786639214,55.60538622358248,52.49459164689029,48.3242704861829,46.53384104772921,45.042965083960475,43.61885270990487,40.77828239731406,38.16942862023757,35.142125779258755,35.464693993961376,35.64715603920964,37.41732591358053,35.9834030553385,35.15135614346583,33.75221414465988,32.613356774831175,33.28493977873015,32.30252323615166,31.103710969550555,30.71494740375923,32.65475171259331,31.361928331512615,32.22880650061431
stock_008,101.32945055947557,98.49788600448696,97.59579424168103,98.278362200027,92.30348329537168,87.25524594328395,82.01029857795159,77.49768168085454,76.28452065228902,72.6581471931069,68.81094098500881,65.90469471124268,65.71892947227961,62.74820964978126,61.767778598963396,61.22920517813239,62.352752773203115,62.163098340653576,61.96922692951664,60.57763032558348,57.65409328044109,57.427855931324004,55.66367256755835,52.88276333746967,49.85783386362089,46.903252187715125,47.82269312476412,47.35074365677311,47.989043047915665,45.4422698923234,45.16232555272447,43.7319407496561,41.751691650297126,43.05689145678555,43.54424063050315,43.50513724557957,45.42034543359178,46.404598038407954,43.60343754275299,42.8833051730004
stock_009,99.96584706932555,98.66645858010799,99.63503740034658,95.26646143406262,91.60236983252655,85.15964530885114,79.71613951899943,76.45296588414965,71.18822362403392,71.8381492727759,70.63816534689123,70.02174060813813,67.17631484084124,66.13575618879362,66.98693006142624,68.253204168344,67.51582262302287,68.77080934136673,68.2317749679139,65.28338507171969,61.19681674051658,60.713887968763466,57.155215870762326,53.1951301690928,49.417418319310684,48.659344791378125,49.34968697375609,46.99214694898027,47.63423502370266,44.5720644290087,43.264148766933616,42.7778643533149,42.606700329613474,41.14083466219417,39.31795355796185,37.3819736857898,38.378888768171144,37.444649513039415,36.685969170404526,35.96661826363095
stock_010,103.2401337937691,100.93100271233824,98.66910728227819,98.00847104552753,97.13954836559327,90.04090720416498,86.54202897716254,83.78811101894644,83.0365032816152,79.76670927608194,76.81465317738629,74.91413804524558,73.5483201396421,69.56060066873744,65.09338189552663,65.42036672852822,65.64562188509684,62.948551754479645,62.793225154337854,58.98515084336953,56.97087950196318,56.9107102370139,57.23719908224707,53.89174715716491,52.456163383757776,50.06986147005942,49.826474479250535,50.597086344717695,50.78913793569757,48.6163236703663,46.37329942091232,46.05611387490726,46.31109621036831,46.24606232456154,43.88930311926198,42.7562897573927,44.380123128736145,43.965796492828595,40.393501213134066,41.50674190818595
