stock_id,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19
stock_000,104.07938285401057,103.43425110980061,99.22165879153513,100.65974489730777,99.7495394256858,101.58306083539894,100.38406539185597,100.34978747599565,93.72130770893486,94.19786605009087,86.9921242207167,88.10910295097892,85.96390385793157,88.93691028111887,89.11918607991737,91.76631419039703,92.8827989532727,92.75935395987047,91.99505430442612,94.83576961584575
stock_001,100.74622805590249,94.85549139997143,92.12711480075407,91.04517131413583,92.23884820667158,90.13610935992055,92.98964565367267,92.42898635575379,91.88358037849048,86.79058691001684,87.4421904201081,85.36171779289492,81.48331264159323,81.92786714693389,84.61613077889565,85.83350451988288,84.9187927165732,83.1395811715449,84.51652682449797,82.60770680457838
stock_002,100.63107078204514,100.05602473696185,90.05042226326566,90.57564594273848,86.98046835129045,85.78162080816256,87.01540795881606,89.20061089242309,88.83100828225439,88.14138094336897,88.45284417421695,90.53626394278722,91.54197158560206,93.04147531151236,91.08726825598735,91.0562874003548,92.35376886052846,91.62051104861833,87.6153691101174,87.12762978087437
stock_003,95.13940416022703,92.65545473443896,91.73778564874502,90.67259511399322,90.73358399744662,91.80335048669491,95.08720988134077,92.5281885872128,91.73856223257087,90.43029063898051,89.36125834580139,85.2754913823402,81.2850131136525,81.86980905930825,78.77569225079591,78.37771269859111,77.92435223206243,76.40946199556814,77.45965937045408,74.57273205117454
stock_004,101.23273915361047,96.76460322428257,94.38384513948262,94.32202217145907,91.76079304830394,89.36957590154735,86.75639095384668,81.68415636812828,81.04832644631774,72.96893615690118,73.25994615916059,73.4390827207308,75.24431510853827,79.91726198096683,81.90541346955433,80.70928807373366,85.84957981721467,82.40279436248788,77.30382104370759,80.120186624507
stock_005,100.53418001830656,93.05377538874104,88.66013024539178,88.62070758067348,84.91854834387708,82.9574873736992,85.36519517545854,88.72007669240625,87.56051472320559,85.32346274201085,85.84264482881812,83.52067416200008,77.54079013172681,72.7953730549165,72.75783237130665,74.55371419223422,75.4240464919531,76.05559225148988,76.6825295846699,78.51014545375945
stock_006,99.30143539773752,96.73819461208221,95.33862829811929,94.32549603527119,88.47997549622862,90.24719637271572,87.98100849698322,85.45364982757135,82.97575812525206,78.68174978802072,77.45881522993287,77.38455518107082,75.61572392939601,77.73295471998557,77.42988777218842,74.49800082530473,77.76090526193725,76.9053987638154,77.73894319364258,79.05811099954141
stock_007,96.47730526154132,92.2515545752134,93.38201530680318,97.19328125050534,95.22092316412905,92.94521108588853,95.41379590806513,92.21621817288445,91.3937772441285,88.72105718283468,88.1153919724182,84.79596604655093,83.51247784560967,82.35162822623765,84.11385169007906,84.60654173879956,87.24483647709357,84.0725384815005,82.71679540289288,83.57620725449813
stock_008,100.99119045751128,94.15569825420351,93.73705928828905,91.5184214036359,91.58681853847482,95.30149689654789,87.53709084724153,84.67946291804684,83.9056153487754,82.59270858539384,83.6249149460948,82.54214335370855,80.92050665289229,78.93377012658787,76.98442770118993,75.66761063628726,75.39554708548825,74.8717282321608,73.76066154383017,72.16255896557465
stock_009,96.73892193800751,91.63085304626206,88.10622605558886,83.06004717887075,82.65214417840197,83.52962047180205,79.2155038142365,79.42709520585045,78.37241216996134,75.28170748697124,75.13169466037081,74.23216395233905,73.64529675829432,75.11834441332192,75.14880610789749,75.23708844603391,75.20581567831788,76.61920254144157,73.8006310505225,71.33949571080915
