stock_id,t,state,characteristic_1,characteristic_2,characteristic_3,mu,alpha,epsilon_variance,beta_mkt,beta_smb,beta_hml,MKT,SMB,HML,epsilon,raw_return,return,price
stock_000,t_0,1,-0.7541671707142118,-0.7338580833514444,-0.8272204385168301,"(-0.5,-0.5,-0.5)",0.002,0.02,0.8491665658571577,0.03307095832427781,-0.41361021925841507,0.01956018174606522,-0.026430533820487594,-0.005314319584467145,0.007068544359499071,0.02700237052642212,0.02700237052642212,102.70023705264222
stock_000,t_1,1,-1.0010716711881216,-0.903308842413467,-1.0279272344572123,"(-0.5,-0.5,-0.5)",0.002,0.02,0.7997856657623756,-0.05165442120673347,-0.5139636172286062,0.026006416569485487,0.013141060354475294,-0.01540788279763643,0.005916917881969204,0.03595677438194329,0.03595677438194329,106.39300630531618
stock_000,t_2,1,-1.1859170216793609,-1.0859939674054748,-1.1462085559307529,"(-0.5,-0.5,-0.5)",0.002,0.02,0.7628165956641279,-0.1429969837027374,-0.5731042779653764,0.005919778870010772,0.0034952042456906623,-0.0016758762636146021,-0.014906058617454128,-0.007929704861288678,-0.007929704861288678,105.5493411660098
stock_000,t_3,1,-1.2624382127375202,-1.2454439118573406,-1.192837291738301,"(-0.5,-0.5,-0.5)",0.002,0.02,0.747512357452496,-0.22272195592867028,-0.5964186458691505,0.07515372120148278,0.009973258920998998,-0.022917404974029346,0.014755491925909104,0.0843809311401347,0.0843809311401347,114.45569285482546
stock_000,t_4,1,-1.1867498828757235,-1.2735264673848987,-1.2699600014004262,"(-0.5,-0.5,-0.5)",0.002,0.02,0.7626500234248553,-0.23676323369244934,-0.6349800007002131,0.028607344997240897,0.01581482171782663,-0.021449904735769628,0.0156938708180356,0.04938715534426058,0.04938715534426058,120.10833393788171
stock_000,t_5,1,-1.1682877953443458,-1.2347580553685211,-1.2934746368195855,"(-0.5,-0.5,-0.5)",0.002,0.02,0.7663424409311308,-0.21737902768426054,-0.6467373184097928,0.016161722928532633,0.001978601713984233,-0.02928986948678365,0.0034581632858975697,0.03635632261629686,0.03635632261629686,124.47503127543325
stock_001,t_0,1,-0.7123199315247464,-0.7124274714050227,0.03758261382750057,"(-0.5,-0.5,0.0)",0.002,0.02,0.8575360136950507,0.043786264297488664,0.018791306913750284,0.01956018174606522,-0.026430533820487594,-0.005314319584467145,0.020767771355106372,0.03828417428704078,0.03828417428704078,103.82841742870409
stock_001,t_1,1,-0.9318188880099795,-0.8922188205023341,0.08928144344564623,"(-0.5,-0.5,0.0)",0.002,0.02,0.813636222398004,-0.04610941025116705,0.044640721722823115,0.026006416569485487,0.013141060354475294,-0.01540788279763643,-0.0057472490121538026,0.01611876797222422,0.01611876797222422,105.5020035981606
stock_001,t_2,1,-0.9597535111016221,-1.1070170800548378,0.0683361624183372,"(-0.5,-0.5,0.0)",0.002,0.02,0.8080492977796756,-0.15350854002741887,0.0341680812091686,0.005919778870010772,0.0034952042456906623,-0.0016758762636146021,-0.0022604227056381462,0.003929245276159709,0.003929245276159709,105.91654684742406
stock_001,t_3,1,-1.0941297998589947,-1.2736019928096156,0.10200457888373897,"(-0.5,-0.5,0.0)",0.002,0.02,0.781174040028201,-0.23680099640480778,0.051002289441869485,0.07515372120148278,0.009973258920998998,-0.022917404974029346,0.009457173498532694,0.06663479174101039,0.06663479174101039,112.97427388852913
